# entry|column|replacementLength|symbols|observedCount
BASE_REFILL|0|1|A|21
BASE_REFILL|0|1|H1|44
BASE_REFILL|0|1|H2|35
BASE_REFILL|0|1|H3|36
BASE_REFILL|0|1|H4|30
BASE_REFILL|0|1|H5|35
BASE_REFILL|0|1|J|14
BASE_REFILL|0|1|K|9
BASE_REFILL|0|1|Q|19
BASE_REFILL|0|1|Scat|1
BASE_REFILL|0|1|T|18
BASE_REFILL|0|1|X2|1
BASE_REFILL|0|1|X3|7
BASE_REFILL|0|1|X4|3
BASE_REFILL|0|2|A,A|1
BASE_REFILL|0|2|A,H1|1
BASE_REFILL|0|2|A,H2|1
BASE_REFILL|0|2|A,H3|1
BASE_REFILL|0|2|A,H4|1
BASE_REFILL|0|2|A,H5|3
BASE_REFILL|0|2|A,J|4
BASE_REFILL|0|2|A,K|2
BASE_REFILL|0|2|A,Q|1
BASE_REFILL|0|2|A,Scat|1
BASE_REFILL|0|2|A,T|1
BASE_REFILL|0|2|H1,A|1
BASE_REFILL|0|2|H1,H1|1
BASE_REFILL|0|2|H1,H2|1
BASE_REFILL|0|2|H1,H3|4
BASE_REFILL|0|2|H1,H4|3
BASE_REFILL|0|2|H1,H5|1
BASE_REFILL|0|2|H1,J|4
BASE_REFILL|0|2|H1,K|4
BASE_REFILL|0|2|H1,Q|2
BASE_REFILL|0|2|H1,T|3
BASE_REFILL|0|2|H1,X4|1
BASE_REFILL|0|2|H2,A|1
BASE_REFILL|0|2|H2,H1|3
BASE_REFILL|0|2|H2,H2|1
BASE_REFILL|0|2|H2,H3|4
BASE_REFILL|0|2|H2,H4|3
BASE_REFILL|0|2|H2,H5|3
BASE_REFILL|0|2|H2,J|1
BASE_REFILL|0|2|H2,K|3
BASE_REFILL|0|2|H2,Q|2
BASE_REFILL|0|2|H2,T|1
BASE_REFILL|0|2|H3,A|3
BASE_REFILL|0|2|H3,H1|1
BASE_REFILL|0|2|H3,H2|3
BASE_REFILL|0|2|H3,H3|3
BASE_REFILL|0|2|H3,H4|2
BASE_REFILL|0|2|H3,H5|3
BASE_REFILL|0|2|H3,J|2
BASE_REFILL|0|2|H3,K|5
BASE_REFILL|0|2|H3,Q|4
BASE_REFILL|0|2|H3,T|4
BASE_REFILL|0|2|H3,X3|1
BASE_REFILL|0|2|H3,X4|1
BASE_REFILL|0|2|H4,A|1
BASE_REFILL|0|2|H4,H1|1
BASE_REFILL|0|2|H4,H2|2
BASE_REFILL|0|2|H4,H3|2
BASE_REFILL|0|2|H4,H4|2
BASE_REFILL|0|2|H4,H5|2
BASE_REFILL|0|2|H4,J|1
BASE_REFILL|0|2|H4,Q|2
BASE_REFILL|0|2|H4,Scat|1
BASE_REFILL|0|2|H4,X4|2
BASE_REFILL|0|2|H5,A|1
BASE_REFILL|0|2|H5,H1|2
BASE_REFILL|0|2|H5,H2|2
BASE_REFILL|0|2|H5,H3|2
BASE_REFILL|0|2|H5,H4|3
BASE_REFILL|0|2|H5,H5|5
BASE_REFILL|0|2|H5,K|1
BASE_REFILL|0|2|H5,Q|3
BASE_REFILL|0|2|H5,T|3
BASE_REFILL|0|2|H5,X3|1
BASE_REFILL|0|2|H5,X4|1
BASE_REFILL|0|2|J,A|4
BASE_REFILL|0|2|J,H1|2
BASE_REFILL|0|2|J,H3|2
BASE_REFILL|0|2|J,H4|1
BASE_REFILL|0|2|J,H5|1
BASE_REFILL|0|2|J,J|1
BASE_REFILL|0|2|J,K|5
BASE_REFILL|0|2|J,Q|2
BASE_REFILL|0|2|J,T|2
BASE_REFILL|0|2|K,A|2
BASE_REFILL|0|2|K,H1|2
BASE_REFILL|0|2|K,H2|1
BASE_REFILL|0|2|K,H3|1
BASE_REFILL|0|2|K,H4|2
BASE_REFILL|0|2|K,H5|3
BASE_REFILL|0|2|K,J|1
BASE_REFILL|0|2|K,K|1
BASE_REFILL|0|2|K,Q|2
BASE_REFILL|0|2|K,T|2
BASE_REFILL|0|2|K,X4|1
BASE_REFILL|0|2|Q,A|5
BASE_REFILL|0|2|Q,H1|2
BASE_REFILL|0|2|Q,H2|1
BASE_REFILL|0|2|Q,H4|3
BASE_REFILL|0|2|Q,J|1
BASE_REFILL|0|2|Q,K|2
BASE_REFILL|0|2|Q,Q|1
BASE_REFILL|0|2|Q,T|2
BASE_REFILL|0|2|Scat,K|1
BASE_REFILL|0|2|T,A|3
BASE_REFILL|0|2|T,H2|2
BASE_REFILL|0|2|T,H3|2
BASE_REFILL|0|2|T,H5|3
BASE_REFILL|0|2|T,J|2
BASE_REFILL|0|2|T,K|2
BASE_REFILL|0|2|T,T|1
BASE_REFILL|0|2|X2,H3|1
BASE_REFILL|0|2|X3,H3|1
BASE_REFILL|0|2|X4,K|1
BASE_REFILL|0|3|A,A,H3|1
BASE_REFILL|0|3|A,A,J|2
BASE_REFILL|0|3|A,H1,Q|1
BASE_REFILL|0|3|A,H2,Q|1
BASE_REFILL|0|3|A,H5,A|1
BASE_REFILL|0|3|A,H5,X4|2
BASE_REFILL|0|3|A,K,T|1
BASE_REFILL|0|3|A,T,H3|1
BASE_REFILL|0|3|H1,A,J|1
BASE_REFILL|0|3|H1,A,K|1
BASE_REFILL|0|3|H1,A,Q|1
BASE_REFILL|0|3|H1,H1,H2|1
BASE_REFILL|0|3|H1,H1,K|1
BASE_REFILL|0|3|H1,H1,T|1
BASE_REFILL|0|3|H1,H2,H3|2
BASE_REFILL|0|3|H1,H4,H2|1
BASE_REFILL|0|3|H1,H5,A|1
BASE_REFILL|0|3|H1,K,H1|1
BASE_REFILL|0|3|H1,Q,Q|2
BASE_REFILL|0|3|H1,T,T|2
BASE_REFILL|0|3|H2,A,H2|2
BASE_REFILL|0|3|H2,H1,H3|1
BASE_REFILL|0|3|H2,H1,H5|1
BASE_REFILL|0|3|H2,H3,A|1
BASE_REFILL|0|3|H2,H3,X3|1
BASE_REFILL|0|3|H2,H5,J|1
BASE_REFILL|0|3|H2,J,Q|1
BASE_REFILL|0|3|H2,Q,H3|2
BASE_REFILL|0|3|H2,Scat,H1|1
BASE_REFILL|0|3|H3,H1,H2|1
BASE_REFILL|0|3|H3,H2,A|1
BASE_REFILL|0|3|H3,H5,A|1
BASE_REFILL|0|3|H3,H5,H3|1
BASE_REFILL|0|3|H3,J,H3|1
BASE_REFILL|0|3|H3,K,H4|1
BASE_REFILL|0|3|H3,T,A|1
BASE_REFILL|0|3|H3,T,T|1
BASE_REFILL|0|3|H3,T,X4|1
BASE_REFILL|0|3|H4,A,H1|1
BASE_REFILL|0|3|H4,A,H2|1
BASE_REFILL|0|3|H4,H1,H4|1
BASE_REFILL|0|3|H4,H2,H5|1
BASE_REFILL|0|3|H4,H5,H1|1
BASE_REFILL|0|3|H4,H5,K|1
BASE_REFILL|0|3|H4,H5,T|2
BASE_REFILL|0|3|H4,J,H4|1
BASE_REFILL|0|3|H4,J,J|2
BASE_REFILL|0|3|H4,Q,H5|1
BASE_REFILL|0|3|H5,A,A|1
BASE_REFILL|0|3|H5,H1,A|1
BASE_REFILL|0|3|H5,H1,H2|1
BASE_REFILL|0|3|H5,H2,H4|2
BASE_REFILL|0|3|H5,H4,H3|1
BASE_REFILL|0|3|H5,H4,H4|1
BASE_REFILL|0|3|H5,X3,H4|1
BASE_REFILL|0|3|J,A,A|1
BASE_REFILL|0|3|J,A,H2|1
BASE_REFILL|0|3|J,A,K|1
BASE_REFILL|0|3|J,H1,Q|1
BASE_REFILL|0|3|J,H4,T|1
BASE_REFILL|0|3|J,J,H2|1
BASE_REFILL|0|3|J,J,H4|2
BASE_REFILL|0|3|J,J,X2|1
BASE_REFILL|0|3|J,K,Q|1
BASE_REFILL|0|3|J,T,H1|1
BASE_REFILL|0|3|K,A,H3|1
BASE_REFILL|0|3|K,H1,H1|1
BASE_REFILL|0|3|K,H3,J|1
BASE_REFILL|0|3|K,H4,H2|1
BASE_REFILL|0|3|K,J,J|1
BASE_REFILL|0|3|K,K,H5|1
BASE_REFILL|0|3|K,Q,H3|1
BASE_REFILL|0|3|K,Q,Q|1
BASE_REFILL|0|3|K,T,H5|1
BASE_REFILL|0|3|K,X4,Q|1
BASE_REFILL|0|3|Q,A,H4|1
BASE_REFILL|0|3|Q,A,K|1
BASE_REFILL|0|3|Q,H1,H3|1
BASE_REFILL|0|3|Q,H1,H4|1
BASE_REFILL|0|3|Q,H2,K|1
BASE_REFILL|0|3|Q,H3,Q|1
BASE_REFILL|0|3|Q,H4,H1|1
BASE_REFILL|0|3|Q,H4,H3|1
BASE_REFILL|0|3|Q,H5,A|1
BASE_REFILL|0|3|Q,Q,H2|1
BASE_REFILL|0|3|Q,Q,H5|1
BASE_REFILL|0|3|Q,Q,Q|1
BASE_REFILL|0|3|Q,T,H3|1
BASE_REFILL|0|3|Q,T,Q|1
BASE_REFILL|0|3|T,H1,Q|1
BASE_REFILL|0|3|T,H1,T|1
BASE_REFILL|0|3|T,H2,H2|2
BASE_REFILL|0|3|T,H3,A|1
BASE_REFILL|0|3|T,H5,H3|2
BASE_REFILL|0|3|T,J,Q|1
BASE_REFILL|0|3|X2,K,H4|1
BASE_REFILL|0|3|X3,H2,J|1
BASE_REFILL|0|3|X4,H3,Q|1
BASE_REFILL|0|3|X4,K,A|1
BASE_REFILL|0|4|A,A,H3,H1|1
BASE_REFILL|0|4|A,A,X3,H1|1
BASE_REFILL|0|4|A,J,H3,T|1
BASE_REFILL|0|4|A,J,T,H4|1
BASE_REFILL|0|4|A,Q,J,A|1
BASE_REFILL|0|4|H1,A,A,A|1
BASE_REFILL|0|4|H1,H2,Q,H1|1
BASE_REFILL|0|4|H1,H3,H5,A|1
BASE_REFILL|0|4|H1,H4,Q,A|1
BASE_REFILL|0|4|H1,H5,H4,H1|1
BASE_REFILL|0|4|H1,X3,H4,H2|1
BASE_REFILL|0|4|H1,X3,K,K|1
BASE_REFILL|0|4|H2,H1,H1,K|1
BASE_REFILL|0|4|H2,H3,H1,J|1
BASE_REFILL|0|4|H2,H4,Q,T|1
BASE_REFILL|0|4|H2,H5,H5,H4|1
BASE_REFILL|0|4|H2,J,J,J|1
BASE_REFILL|0|4|H2,K,H4,H3|1
BASE_REFILL|0|4|H2,T,X4,H1|1
BASE_REFILL|0|4|H3,H1,H3,A|1
