#entry|col|tokens|count
CASCADE_REFILL|0|1A,1A,1A,1H4,1H5|1
CASCADE_REFILL|0|1A,1A,1H4,1H5,1K|1
CASCADE_REFILL|0|1A,1A,1J,1H3,1H3|1
CASCADE_REFILL|0|1A,1A,1T,1H5,1H2|1
CASCADE_REFILL|0|1A,1H1,1K,1H5,1H2|1
CASCADE_REFILL|0|1A,1H2,1H3,1Q,1H5|1
CASCADE_REFILL|0|1A,1H2,1H6,1H5,1H4|1
CASCADE_REFILL|0|1A,1H3,1Q,1Q,1T|1
CASCADE_REFILL|0|1A,1H4,1H4,1J,1Q|1
CASCADE_REFILL|0|1A,1H5,1H2,1A,1Q|1
CASCADE_REFILL|0|1A,1H5,1H3,1H5,1H4|1
CASCADE_REFILL|0|1A,1H5,1K,1A,1A|1
CASCADE_REFILL|0|1A,1J,1H3,1H3,1H6|1
CASCADE_REFILL|0|1A,1J,1H6,1H2,1H4|1
CASCADE_REFILL|0|1A,1J,1J,1K,1H4|1
CASCADE_REFILL|0|1A,1J,1T,1H6,1J|2
CASCADE_REFILL|0|1A,1K,1T,1K,1K|1
CASCADE_REFILL|0|1A,1Q,1H5,1T,1Q|1
CASCADE_REFILL|0|1H1,1K,1H5,1H3,1H2|1
CASCADE_REFILL|0|1H2,1H2,1J,1J,1J|1
CASCADE_REFILL|0|1H2,1H3,1H3,1J,1A|1
CASCADE_REFILL|0|1H2,1H3,1H4,1H3,1K|1
CASCADE_REFILL|0|1H2,1H3,1H6,1H4,1K|1
CASCADE_REFILL|0|1H2,1H3,1Q,1Q,1T|1
CASCADE_REFILL|0|1H2,1J,1J,1A,1H5|1
CASCADE_REFILL|0|1H2,1J,1K,1A,1H2|1
CASCADE_REFILL|0|1H2,1J,1Q,1K,1K|1
CASCADE_REFILL|0|1H2,1K,1H2,1K,1H2|1
CASCADE_REFILL|0|1H2,1Q,1H2,1H3,1Scat|1
CASCADE_REFILL|0|1H2,1Q,1H3,1Q,1H2|1
CASCADE_REFILL|0|1H2,1Q,1J,1H2,1Scat|1
CASCADE_REFILL|0|1H2,1T,1H1,1Scat,1K|1
CASCADE_REFILL|0|1H2,1T,1H3,1H3,1A|1
CASCADE_REFILL|0|1H2,1T,1H5,1A,1A|1
CASCADE_REFILL|0|1H2,1T,1H6,1A,1H5|1
CASCADE_REFILL|0|1H2,1T,1T,1Q,1A|1
CASCADE_REFILL|0|1H3,1A,1H5,1T,1J|1
CASCADE_REFILL|0|1H3,1A,1K,1K,1K|1
CASCADE_REFILL|0|1H3,1H2,1J,1A,1A|1
CASCADE_REFILL|0|1H3,1H3,1H6,1A,1A|1
CASCADE_REFILL|0|1H3,1H3,1Q,1A,1J|1
CASCADE_REFILL|0|1H3,1H3,1Q,1T,1Q|1
CASCADE_REFILL|0|1H3,1H4,1A,1H3,1H5|1
CASCADE_REFILL|0|1H3,1H4,1H3,1T,1Q|1
CASCADE_REFILL|0|1H3,1H5,1T,1K,1K|1
CASCADE_REFILL|0|1H3,1H6,1A,1H2,1A|1
CASCADE_REFILL|0|1H3,1H6,1A,1H4,1K|1
CASCADE_REFILL|0|1H3,1H6,1H2,1J,1J|1
CASCADE_REFILL|0|1H3,1H6,1H4,1H2,1K|1
CASCADE_REFILL|0|1H3,1J,1H5,1H4,1Q|1
CASCADE_REFILL|0|1H3,1K,1H3,1J,1J|1
CASCADE_REFILL|0|1H3,1K,1H5,1Scat,1H2|1
CASCADE_REFILL|0|1H3,1K,1H6,1H2,1Q|1
CASCADE_REFILL|0|1H3,1Q,1A,1K,1H4|1
CASCADE_REFILL|0|1H3,1Q,1H5,1A,1K|1
CASCADE_REFILL|0|1H3,1Q,1Q,1K,1T|1
CASCADE_REFILL|0|1H3,1T,1H5,1Q,1H6|1
CASCADE_REFILL|0|1H3,1T,1J,1J,1H4|1
CASCADE_REFILL|0|1H3,1T,1Q,1H5,1H4|1
CASCADE_REFILL|0|1H3,1T,1Q,1K,1K|1
CASCADE_REFILL|0|1H4,1H2,1H3,1Q,1H5|1
CASCADE_REFILL|0|1H4,1H2,1T,1H6,1H5|1
CASCADE_REFILL|0|1H4,1H3,1H3,1Q,1J|1
CASCADE_REFILL|0|1H4,1H3,1J,1A,1Q|1
CASCADE_REFILL|0|1H4,1H5,1H5,1H3,1H3|1
CASCADE_REFILL|0|1H4,1H5,1Q,1Q,1T|1
CASCADE_REFILL|0|1H4,1J,1A,1H2,1T|1
CASCADE_REFILL|0|1H4,1J,1H6,1H6,1H3|1
CASCADE_REFILL|0|1H4,1J,1K,1A,1T|1
CASCADE_REFILL|0|1H4,1K,1H3,1J,1A|1
CASCADE_REFILL|0|1H4,1K,1H5,1H6,1J|1
CASCADE_REFILL|0|1H4,1K,1H6,1H2,1Q|1
CASCADE_REFILL|0|1H4,1K,1J,1A,1H2|1
CASCADE_REFILL|0|1H4,1Q,1A,1A,1H6|1
CASCADE_REFILL|0|1H4,1Scat,1Q,1J,1J|1
CASCADE_REFILL|0|1H4,1T,1Q,1K,1K|1
CASCADE_REFILL|0|1H5,1A,1H1,1K,1H5|1
CASCADE_REFILL|0|1H5,1A,1H2,1H4,1H5|1
CASCADE_REFILL|0|1H5,1A,1H4,1A,1H6|1
CASCADE_REFILL|0|1H5,1A,1H5,1K,1J|1
CASCADE_REFILL|0|1H5,1H1,1H4,1H2,1H3|1
CASCADE_REFILL|0|1H5,1H3,1K,1H3,1H3|1
CASCADE_REFILL|0|1H5,1H3,1K,1K,1H6|1
CASCADE_REFILL|0|1H5,1H3,1Q,1A,1H3|1
CASCADE_REFILL|0|1H5,1H3,1Q,1Q,1H2|1
CASCADE_REFILL|0|1H5,1H3,1Q,1Q,1T|1
CASCADE_REFILL|0|1H5,1H4,1Q,1Q,1T|1
CASCADE_REFILL|0|1H5,1H5,1H4,1K,1J|1
