#entry|col|token|count
FILL|0|1A|29
FILL|0|1H1|4
FILL|0|1H2|42
FILL|0|1H3|38
FILL|0|1H4|33
FILL|0|1H5|46
FILL|0|1H6|36
FILL|0|1J|45
FILL|0|1K|44
FILL|0|1Q|39
FILL|0|1Scat|10
FILL|0|1T|40
FILL|1|1A|41
FILL|1|1H1|4
FILL|1|1H2|50
FILL|1|1H3|49
FILL|1|1H4|45
FILL|1|1H5|32
FILL|1|1H6|45
FILL|1|1J|43
FILL|1|1K|45
FILL|1|1Q|36
FILL|1|1Scat|8
FILL|1|1T|48
FILL|1|1Wild|4
FILL|1|2A|1
FILL|1|2H3|2
FILL|1|2H4|3
FILL|1|2H6|2
FILL|1|2J|2
FILL|1|2T|1
FILL|1|2Wild|6
FILL|1|3K|1
FILL|1|3T|1
FILL|1|3Wild|2
FILL|1|4A|1
FILL|1|4H2|1
FILL|1|4J|1
FILL|1|4Wild|2
FILL|2|1A|42
FILL|2|1H1|8
FILL|2|1H2|56
FILL|2|1H3|52
FILL|2|1H4|50
FILL|2|1H5|45
FILL|2|1H6|42
FILL|2|1J|50
FILL|2|1K|43
FILL|2|1Q|41
FILL|2|1Scat|6
FILL|2|1T|38
FILL|2|1Wild|4
FILL|2|2A|1
FILL|2|2H4|2
FILL|2|2H5|1
FILL|2|2H6|2
FILL|2|2Wild|5
FILL|2|3H6|1
FILL|2|3J|1
FILL|2|3K|1
FILL|2|3Wild|3
FILL|2|4H3|1
FILL|2|4J|1
FILL|2|4Wild|2
FILL|3|1A|39
FILL|3|1H1|4
FILL|3|1H2|27
FILL|3|1H3|37
FILL|3|1H4|37
FILL|3|1H5|31
FILL|3|1H6|29
FILL|3|1J|27
FILL|3|1K|24
FILL|3|1Q|31
FILL|3|1Scat|5
FILL|3|1T|36
FILL|3|1Wild|5
FILL|3|2A|3
FILL|3|2H2|1
FILL|3|2H4|1
FILL|3|2H6|1
FILL|3|2K|1
FILL|3|2Q|1
FILL|3|2Wild|5
FILL|3|3H4|1
FILL|3|4H5|1
FILL|4|1A|17
FILL|4|1H1|3
FILL|4|1H2|23
FILL|4|1H3|24
FILL|4|1H4|31
FILL|4|1H5|27
FILL|4|1H6|24
FILL|4|1J|19
FILL|4|1K|23
FILL|4|1Q|19
FILL|4|1Scat|4
FILL|4|1T|24
FILL|4|1Wild|2
FILL|4|2H2|2
FILL|4|2H4|1
FILL|4|2J|1
FILL|4|2K|1
FILL|4|3H3|1
FILL|4|3H5|1
FILL|4|3Wild|1
FILL|5|1A|5
FILL|5|1H2|3
FILL|5|1H3|9
FILL|5|1H4|7
FILL|5|1H5|4
FILL|5|1H6|3
FILL|5|1J|4
FILL|5|1K|10
FILL|5|1Q|5
FILL|5|1Scat|1
FILL|5|1T|8
