# kind|rpx|s01|s02  complete joint states; holdout excluded
L|1|S1,S4,S4,S3,S1,S1,S6,S3,S3|
L|1|S5,S5,S1,S6,S3,S3,S1,S4,S4|
L|1|S2,S2,S5,S2,S2,S1,S5,S5,S5|
L|1|S5,S5,S4,S5,S4,S1,S3,S3,S3|
L|1|S5,S5,S5,S5,S2,S2,S4,S6,S3|
L|1|S6,S1,S1,S2,S2,S2,S2,S2,S3|
L|1|S1,S6,S6,S4,S4,S5,S1,S1,S1|
L|1|S6,S4,S4,S3,S6,S4,S6,S5,S5|
L|1|S6,WILD,S3,S3,S4,S4,S5,S5,S5|
W|1|WILD,WILD,WILD,S3,WILD,S6,WILD,WILD,WILD|
L|1|S1,S1,S6,S5,S5,S5,S2,S2,S2|
W|1|WILD,WILD,S2,WILD,WILD,S5,WILD,WILD,WILD|
L|1|S3,S3,S6,S4,S4,S4,S1,S1,S1|
W|1|WILD,WILD,WILD,S2,WILD,S1,WILD,WILD,WILD|
L|1|S2,S2,S2,S4,S4,S4,S5,S2,S2|
L|1|S5,S5,S5,S5,S6,S6,S1,S6,S2|
L|1|S3,S2,S2,S1,S1,S5,S4,S3,S6|
W|1|WILD,WILD,WILD,S4,WILD,WILD,S2,WILD,WILD|
L|1|S5,S3,S1,S2,S2,S2,S4,S5,S2|
W|1|WILD,WILD,WILD,S1,WILD,S3,WILD,WILD,WILD|
L|1|S3,S6,S6,S6,S6,S2,S1,S4,S5|
L|1|S6,S6,S6,S4,S4,S4,S3,S2,S2|
L|1|S1,S1,S1,S3,S3,S3,S3,S3,S6|
L|1|S5,S4,S4,S2,S2,S1,S1,S1,S1|
L|1|S4,S4,S6,WILD,S3,S3,S5,S5,S3|
L|1|S3,S3,S3,S5,S5,S6,S2,S4,S6|
L|1|S6,S4,S1,S4,S4,S1,S5,S5,S5|
L|1|S1,S1,S4,S2,S4,S3,S6,S6,S6|
L|1|S3,S3,S1,S6,S6,S6,S2,S1,S1|
M|5|WILD,WILD,WILD,WILD,WILD,WILD,WILD,S3,S3|
L|1|S4,S2,S2,S3,S3,S2,S2,S4,S4|
L|1|S1,S3,S3,S3,S5,S5,S1,S4,S4|
L|1|S1,S1,S1,S6,S4,S4,S1,S1,S6|
W|1|WILD,WILD,WILD,S1,WILD,S5,WILD,WILD,WILD|
