#entry|column|length|symbols|count
BASE_REFILL|0|1|S1|3
BASE_REFILL|0|1|S2|38
BASE_REFILL|0|1|S3|35
BASE_REFILL|0|1|S4|14
BASE_REFILL|0|1|S5|25
BASE_REFILL|0|1|S6|21
BASE_REFILL|0|1|S7|40
BASE_REFILL|0|1|S8|16
BASE_REFILL|0|1|S9|27
BASE_REFILL|0|2|S1,S3|1
BASE_REFILL|0|2|S1,S6|1
BASE_REFILL|0|2|S1,S7|2
BASE_REFILL|0|2|S1,S8|1
BASE_REFILL|0|2|S1,S9|1
BASE_REFILL|0|2|S2,S2|6
BASE_REFILL|0|2|S2,S3|2
BASE_REFILL|0|2|S2,S4|1
BASE_REFILL|0|2|S2,S5|2
BASE_REFILL|0|2|S2,S6|4
BASE_REFILL|0|2|S2,S7|2
BASE_REFILL|0|2|S2,S8|1
BASE_REFILL|0|2|S2,S9|2
BASE_REFILL|0|2|S3,S2|2
BASE_REFILL|0|2|S3,S3|6
BASE_REFILL|0|2|S3,S4|2
BASE_REFILL|0|2|S3,S6|4
BASE_REFILL|0|2|S3,S7|5
BASE_REFILL|0|2|S3,S8|1
BASE_REFILL|0|2|S3,S9|3
BASE_REFILL|0|2|S4,S2|3
BASE_REFILL|0|2|S4,S3|3
BASE_REFILL|0|2|S4,S4|5
BASE_REFILL|0|2|S4,S5|1
BASE_REFILL|0|2|S4,S6|2
BASE_REFILL|0|2|S4,S7|3
BASE_REFILL|0|2|S4,S8|1
BASE_REFILL|0|2|S4,S9|2
BASE_REFILL|0|2|S5,S3|1
BASE_REFILL|0|2|S5,S4|4
BASE_REFILL|0|2|S5,S5|2
BASE_REFILL|0|2|S5,S6|1
BASE_REFILL|0|2|S5,S7|6
BASE_REFILL|0|2|S5,S9|6
BASE_REFILL|0|2|S6,S2|4
BASE_REFILL|0|2|S6,S4|2
BASE_REFILL|0|2|S6,S5|4
BASE_REFILL|0|2|S6,S6|1
BASE_REFILL|0|2|S6,S8|2
BASE_REFILL|0|2|S6,S9|1
BASE_REFILL|0|2|S7,S1|2
BASE_REFILL|0|2|S7,S2|2
BASE_REFILL|0|2|S7,S3|1
BASE_REFILL|0|2|S7,S6|4
BASE_REFILL|0|2|S7,S7|1
BASE_REFILL|0|2|S7,S8|1
BASE_REFILL|0|2|S7,S9|1
BASE_REFILL|0|2|S8,S1|1
BASE_REFILL|0|2|S8,S2|2
BASE_REFILL|0|2|S8,S3|3
BASE_REFILL|0|2|S8,S4|1
BASE_REFILL|0|2|S8,S6|1
BASE_REFILL|0|2|S8,S7|2
BASE_REFILL|0|2|S8,S8|4
BASE_REFILL|0|2|S8,S9|3
BASE_REFILL|0|2|S9,S2|2
BASE_REFILL|0|2|S9,S3|2
BASE_REFILL|0|2|S9,S4|6
BASE_REFILL|0|2|S9,S5|1
BASE_REFILL|0|2|S9,S6|1
BASE_REFILL|0|2|S9,S7|2
BASE_REFILL|0|2|S9,S8|1
BASE_REFILL|0|2|S9,S9|3
BASE_REFILL|0|3|S1,S7,S9|2
BASE_REFILL|0|3|S2,S2,S3|1
BASE_REFILL|0|3|S2,S3,S9|1
BASE_REFILL|0|3|S2,S5,S3|1
BASE_REFILL|0|3|S2,S9,S9|2
BASE_REFILL|0|3|S3,S1,S6|1
BASE_REFILL|0|3|S3,S3,S9|2
BASE_REFILL|0|3|S3,S4,S7|1
BASE_REFILL|0|3|S3,S6,S9|1
BASE_REFILL|0|3|S3,S7,S7|1
BASE_REFILL|0|3|S3,S8,S1|2
BASE_REFILL|0|3|S3,S8,S2|1
BASE_REFILL|0|3|S4,S2,S5|1
BASE_REFILL|0|3|S4,S2,S6|3
BASE_REFILL|0|3|S4,S3,S4|1
BASE_REFILL|0|3|S4,S4,S4|1
BASE_REFILL|0|3|S4,S6,S2|1
BASE_REFILL|0|3|S4,S6,S6|1
BASE_REFILL|0|3|S4,S8,S3|1
BASE_REFILL|0|3|S4,S8,S4|1
BASE_REFILL|0|3|S4,S9,S3|1
BASE_REFILL|0|3|S4,S9,S5|3
BASE_REFILL|0|3|S5,S2,S8|1
BASE_REFILL|0|3|S5,S2,S9|1
BASE_REFILL|0|3|S5,S3,S3|1
BASE_REFILL|0|3|S5,S5,S5|1
BASE_REFILL|0|3|S5,S5,S7|1
BASE_REFILL|0|3|S5,S6,S4|1
BASE_REFILL|0|3|S5,S6,S5|1
BASE_REFILL|0|3|S5,S7,S9|1
BASE_REFILL|0|3|S5,S8,S2|1
BASE_REFILL|0|3|S5,S8,S9|1
BASE_REFILL|0|3|S6,S2,S6|1
BASE_REFILL|0|3|S6,S3,S3|1
BASE_REFILL|0|3|S6,S4,S4|1
BASE_REFILL|0|3|S6,S4,S6|1
BASE_REFILL|0|3|S6,S6,S5|1
BASE_REFILL|0|3|S6,S9,S6|1
BASE_REFILL|0|3|S7,S5,S2|2
BASE_REFILL|0|3|S7,S5,S7|1
BASE_REFILL|0|3|S7,S6,S2|1
BASE_REFILL|0|3|S7,S7,S7|1
BASE_REFILL|0|3|S7,S7,S8|1
BASE_REFILL|0|3|S7,S8,S7|1
BASE_REFILL|0|3|S7,S8,S8|1
BASE_REFILL|0|3|S8,S4,S2|1
BASE_REFILL|0|3|S8,S4,S3|1
BASE_REFILL|0|3|S8,S5,S8|1
BASE_REFILL|0|3|S8,S5,S9|1
BASE_REFILL|0|3|S8,S7,S2|1
BASE_REFILL|0|3|S9,S2,S5|1
BASE_REFILL|0|3|S9,S2,S9|2
BASE_REFILL|0|3|S9,S3,S7|1
BASE_REFILL|0|3|S9,S4,S9|1
BASE_REFILL|0|3|S9,S5,S1|1
BASE_REFILL|0|3|S9,S7,S9|1
BASE_REFILL|0|3|S9,S9,S8|1
BASE_REFILL|0|4|S1,S6,S5,S4|1
BASE_REFILL|0|4|S2,S1,S8,S9|1
BASE_REFILL|0|4|S3,S2,S5,S2|1
BASE_REFILL|0|4|S3,S4,S8,S6|1
BASE_REFILL|0|4|S4,S7,S9,S4|1
BASE_REFILL|0|4|S5,S3,S4,S8|1
BASE_REFILL|0|4|S5,S4,S2,S6|1
BASE_REFILL|0|4|S5,S7,S7,S8|1
BASE_REFILL|0|4|S5,S9,S8,S9|1
BASE_REFILL|0|4|S6,S8,S4,S4|1
BASE_REFILL|0|4|S6,S9,S1,S7|1
